case,replicate,frac_pct,acc_noGM,acc_GM
Urea 90%,1,4.0,0.962,0.955
Urea 90%,1,8.1,0.958,0.955
Urea 90%,1,12.1,0.882,0.968
Urea 90%,1,16.2,0.905,0.935
Urea 90%,1,20.2,0.875,0.942
Urea 90%,1,24.3,0.85,0.952
Urea 90%,1,28.3,0.835,0.97
Urea 90%,1,32.3,0.818,0.968
Urea 90%,1,36.4,0.748,0.975
Urea 90%,1,40.4,0.702,0.95
Urea 90%,1,44.5,0.552,0.948
Urea 90%,1,48.5,0.472,0.932
Urea 90%,1,52.6,0.415,0.922
Urea 90%,1,56.6,0.548,0.94
Urea 90%,1,60.6,0.365,0.882
Urea 90%,1,64.7,0.195,0.792
Urea 90%,1,68.7,0.155,0.832
Urea 90%,1,72.8,0.308,0.92
Urea 90%,1,76.8,0.832,0.995
Urea 90%,1,80.9,0.99,1.0
Urea 90%,1,84.9,1.0,1.0
Urea 90%,1,88.9,1.0,1.0
Urea 90%,1,93.0,1.0,1.0
Urea 90%,1,97.0,0.982,0.82
Urea 90%,1,99.7,0.285,1.0
Urea 90%,2,4.5,0.98,0.972
Urea 90%,2,8.9,0.948,0.978
Urea 90%,2,13.4,0.945,0.962
Urea 90%,2,17.8,0.905,0.958
Urea 90%,2,22.3,0.88,0.978
Urea 90%,2,26.7,0.888,0.988
Urea 90%,2,31.2,0.872,0.978
Urea 90%,2,35.7,0.752,0.965
Urea 90%,2,40.1,0.402,0.902
Urea 90%,2,44.6,0.088,0.84
Urea 90%,2,49.0,0.01,0.77
Urea 90%,2,53.5,0.0,0.768
Urea 90%,2,58.0,0.0,0.835
Urea 90%,2,62.4,0.005,0.862
Urea 90%,2,66.9,0.002,0.895
Urea 90%,2,71.3,0.0,0.745
Urea 90%,2,75.8,0.0,0.74
Urea 90%,2,80.2,0.0,0.87
Urea 90%,2,84.7,0.0,0.898
Urea 90%,2,89.2,0.0,0.902
Urea 90%,2,93.6,0.015,0.908
Urea 90%,2,98.1,0.05,0.928
Urea 90%,2,99.6,0.1,0.948
Urea 90%,3,3.7,0.705,0.642
Urea 90%,3,7.4,0.642,0.915
Urea 90%,3,11.2,0.698,0.942
Urea 90%,3,14.9,0.74,0.988
Urea 90%,3,18.6,0.818,0.985
Urea 90%,3,22.3,0.892,0.995
Urea 90%,3,26.0,0.855,1.0
Urea 90%,3,29.8,0.675,0.998
Urea 90%,3,33.5,0.49,0.992
Urea 90%,3,37.2,0.395,0.968
Urea 90%,3,40.9,0.525,0.982
Urea 90%,3,44.6,0.685,0.978
Urea 90%,3,48.3,0.908,0.99
Urea 90%,3,52.1,0.955,0.995
Urea 90%,3,55.8,0.998,1.0
Urea 90%,3,59.5,1.0,1.0
Urea 90%,3,63.2,1.0,1.0
Urea 90%,3,66.9,1.0,1.0
Urea 90%,3,70.7,1.0,1.0
Urea 90%,3,74.4,1.0,1.0
Urea 90%,3,78.1,0.998,0.992
Urea 90%,3,81.8,0.978,0.968
Urea 90%,3,85.5,0.912,0.925
Urea 90%,3,89.3,0.948,0.97
Urea 90%,3,93.0,0.968,0.99
Urea 90%,3,96.7,0.962,0.968
Urea 90%,3,99.2,0.17,1.0
Urea 86%,1,4.0,0.212,1.0
Urea 86%,1,7.9,0.148,0.762
Urea 86%,1,11.9,0.105,0.928
Urea 86%,1,15.8,0.132,0.918
Urea 86%,1,19.8,0.11,0.955
Urea 86%,1,23.8,0.032,0.94
Urea 86%,1,27.7,0.01,0.92
Urea 86%,1,31.7,0.0,0.935
Urea 86%,1,35.6,0.0,0.91
Urea 86%,1,39.6,0.0,0.878
Urea 86%,1,43.6,0.0,0.87
Urea 86%,1,47.5,0.0,0.868
Urea 86%,1,51.5,0.0,0.875
Urea 86%,1,55.5,0.0,0.93
Urea 86%,1,59.4,0.0,0.94
Urea 86%,1,63.4,0.018,0.938
Urea 86%,1,67.3,0.04,0.938
Urea 86%,1,71.3,0.108,0.96
Urea 86%,1,75.3,0.415,0.975
Urea 86%,1,79.2,0.622,0.955
Urea 86%,1,83.2,0.782,0.98
Urea 86%,1,87.1,0.852,0.972
Urea 86%,1,91.1,0.778,0.885
Urea 86%,1,95.1,0.588,0.652
Urea 86%,1,99.0,0.448,0.502
Urea 86%,1,99.5,0.365,0.83
Urea 86%,2,4.0,0.705,0.662
Urea 86%,2,8.0,0.525,0.855
Urea 86%,2,12.0,0.492,0.925
Urea 86%,2,15.9,0.51,0.958
Urea 86%,2,19.9,0.42,0.972
Urea 86%,2,23.9,0.328,0.955
Urea 86%,2,27.9,0.12,0.945
Urea 86%,2,31.9,0.022,0.922
Urea 86%,2,35.9,0.005,0.878
Urea 86%,2,39.8,0.0,0.86
Urea 86%,2,43.8,0.0,0.81
Urea 86%,2,47.8,0.0,0.885
Urea 86%,2,51.8,0.0,0.885
Urea 86%,2,55.8,0.0,0.918
Urea 86%,2,59.8,0.0,0.902
Urea 86%,2,63.7,0.0,0.928
Urea 86%,2,67.7,0.015,0.932
Urea 86%,2,71.7,0.028,0.9
Urea 86%,2,75.7,0.025,0.928
Urea 86%,2,79.7,0.055,0.928
Urea 86%,2,83.7,0.092,0.912
Urea 86%,2,87.6,0.178,0.928
Urea 86%,2,91.6,0.235,0.94
Urea 86%,2,95.6,0.28,0.945
Urea 86%,2,99.6,0.285,0.938
Urea 86%,2,99.6,0.348,0.95
Urea 86%,3,4.1,0.03,1.0
Urea 86%,3,8.2,0.018,0.925
Urea 86%,3,12.3,0.02,0.905
Urea 86%,3,16.4,0.005,0.95
Urea 86%,3,20.5,0.005,0.94
Urea 86%,3,24.6,0.0,0.915
Urea 86%,3,28.7,0.0,0.928
Urea 86%,3,32.8,0.0,0.828
Urea 86%,3,36.9,0.0,0.835
Urea 86%,3,41.0,0.0,0.875
Urea 86%,3,45.1,0.0,0.905
Urea 86%,3,49.2,0.0,0.925
Urea 86%,3,53.3,0.002,0.928
Urea 86%,3,57.4,0.055,0.932
Urea 86%,3,61.5,0.478,0.975
Urea 86%,3,65.6,0.92,0.988
Urea 86%,3,69.7,0.97,1.0
Urea 86%,3,73.9,0.95,0.992
Urea 86%,3,78.0,0.862,0.978
Urea 86%,3,82.1,0.715,0.918
Urea 86%,3,86.2,0.662,0.76
Urea 86%,3,90.3,0.55,1.0
Urea 86%,3,94.4,0.348,1.0
Urea 86%,3,98.5,0.095,1.0
Urea 86%,3,99.7,0.028,1.0
